CID,BDATE,GEN
NASAW00019520,02-17-84,Female
NASAW00019521,09-22-78,Female
NASAW00019522,08-12-85,Male
NASAW00019523,08-23-83,Female
NASAW00019524,08-03-83,Female
NASAW00019525,11-21-65,Female
NASAW00019526,12-31-72,Female
NASAW00019527,06-12-78,Male
NASAW00019528,11-10-72,Female
NASAW00019529,08-05-78,Female
NASAW00019530,12-31-72,Female
NASAW00019531,04-04-73,Male
NASAW00019532,07-31-72,Female
NASAW00019533,10-02-72,Female
NASAW00019534,12-21-72,Male
NASAW00019535,01-18-73,Male
NASAW00019536,11-07-65,Female
NASAW00019537,10-02-71,Female
NASAW00019538,10-07-65,Male
NASAW00019539,03-26-65,Female
NASAW00019540,04-01-65,Female
NASAW00019541,09-05-64,Female
NASAW00019542,01-17-65,Male
NASAW00019543,01-07-65,Male
NASAW00019544,09-04-64,Female
NASAW00019545,10-14-80,Male
NASAW00019546,12-07-63,Male
NASAW00019547,08-11-74,Female
NASAW00019548,04-16-64,Female
NASAW00019549,02-18-64,Male
NASAW00019550,10-06-69,Male
NASAW00019551,01-29-69,Male
NASAW00019552,07-03-69,Female
NASAW00019553,04-03-64,Female
NASAW00019554,10-02-69,Male
NASAW00019555,07-21-74,Male
NASAW00019556,12-31-74,Female
NASAW00019557,03-08-74,Female
NASAW00019558,09-05-75,Female
NASAW00019559,12-13-81,Male
NASAW00019560,04-23-81,Male
NASAW00019561,11-17-75,Male
NASAW00019562,03-22-74,Female
NASAW00019563,04-15-74,Female
NASAW00019564,12-12-79,Male
NASAW00019565,08-02-84,Female
NASAW00019566,08-04-73,Male
NASAW00019567,12-10-72,Female
NASAW00019568,03-06-75,Female
NASAW00019569,12-09-78,Female
NASAW00019570,11-10-72,Female
NASAW00019571,08-09-78,Female
NASAW00019572,04-17-78,Female
NASAW00019573,11-10-78,Female
NASAW00019574,08-10-71,Female
NASAW00019575,02-20-83,Male
NASAW00019576,07-20-71,Female
NASAW00019577,08-16-77,Male
NASAW00019578,02-11-71,Male
NASAW00019579,02-24-71,Female
NASAW00019580,03-04-71,Male
NASAW00019581,08-08-70,Male
NASAW00019582,03-25-74,Female
NASAW00019583,11-12-73,Male
NASAW00019584,05-05-79,Male
NASAW00019585,05-14-74,Female
NASAW00019586,12-04-73,Male
NASAW00019587,12-25-73,Female
NASAW00019588,01-01-74,Male
NASAW00019589,03-07-70,Male
NASAW00019590,09-16-80,Male
NASAW00019591,08-31-69,Male
NASAW00019592,02-21-74,Female
NASAW00019593,04-12-69,Female
NASAW00019594,02-14-69,Female
NASAW00019595,09-12-68,Male
NASAW00019596,05-07-74,Male
NASAW00019597,03-20-84,Male
NASAW00019598,12-05-73,Female
NASAW00019599,02-01-72,Male
NASAW00019600,02-11-67,Female
NASAW00019601,07-17-66,Male
NASAW00019602,10-09-71,Male
NASAW00019603,05-18-72,Female
NASAW00019604,03-05-72,Female
NASAW00019605,11-24-71,Male
NASAW00019606,11-20-37,Male
NASAW00019607,08-21-70,Male
NASAW00019608,04-23-82,Male
NASAW00019609,12-20-69,Female
NASAW00019610,06-19-70,Female
NASAW00019611,04-13-69,Female
NASAW00019612,02-22-74,Male
NASAW00019613,03-15-80,Male
NASAW00019614,01-31-69,Male
NASAW00019615,11-29-73,Male
NASAW00019616,12-02-67,Female
NASAW00019617,03-12-73,Male
NASAW00019618,11-07-67,Male
NASAW00019619,05-10-68,Male
NASAW00019620,11-12-72,Male
NASAW00019621,12-04-63,Female
NASAW00019622,06-24-64,Male
NASAW00019623,05-09-64,Female
NASAW00019624,07-09-62,Male
NASAW00019625,09-12-73,Male
NASAW00019626,10-05-71,Male
NASAW00019627,08-03-65,Female
NASAW00019628,05-07-62,Female
NASAW00019629,08-13-61,Female
NASAW00019630,03-13-62,Female
NASAW00019631,03-22-64,Male
NASAW00019632,04-22-55,Male
NASAW00019633,02-21-82,Female
NASAW00019634,10-08-80,Male
NASAW00019635,04-27-82,Female
NASAW00019636,05-17-82,Female
NASAW00019637,01-04-82,Male
NASAW00019638,04-25-86,Female
NASAW00019639,09-12-85,Male
NASAW00019640,03-17-86,Male
NASAW00019641,09-18-85,Male
NASAW00019642,09-05-84,Female
NASAW00019643,06-21-84,Female
NASAW00019644,03-20-83,Female
NASAW00019645,07-18-82,Male
NASAW00019646,01-01-85,Male
NASAW00019647,04-16-85,Female
NASAW00019648,04-02-85,Female
NASAW00019649,02-22-85,Female
NASAW00019650,10-24-44,Female
NASAW00019651,05-13-45,Male
NASAW00019652,05-15-48,Male
NASAW00019653,09-12-47,Female
NASAW00019654,10-15-81,Male
NASAW00019655,05-14-82,Female
NASAW00019656,02-20-80,Female
NASAW00019657,09-19-77,Female
NASAW00019658,10-02-73,Male
NASAW00019659,11-18-74,Male
NASAW00019660,08-03-68,Male
NASAW00019661,08-24-73,Male
NASAW00019662,05-17-79,Female
NASAW00019663,05-11-85,Male
NASAW00019664,07-14-79,Male
NASAW00019665,10-10-73,Male
NASAW00019666,06-05-50,Female
NASAW00019667,01-14-50,Male
NASAW00019668,04-10-84,Male
NASAW00019669,10-25-83,Female
NASAW00019670,09-13-83,Male
NASAW00019671,12-30-83,Male
NASAW00019672,12-14-50,Female
NASAW00019673,08-13-50,Male
NASAW00019674,03-27-51,Female
NASAW00019675,09-07-51,Male
NASAW00019676,03-14-52,Female
NASAW00019677,11-15-57,Male
NASAW00019678,02-03-77,Male
NASAW00019679,03-07-82,Male
NASAW00019680,06-01-77,Female
NASAW00019681,09-06-83,Female
NASAW00019682,02-04-78,Male
NASAW00019683,07-06-77,Male
NASAW00019684,08-31-75,Female
NASAW00019685,09-13-69,Female
NASAW00019686,12-19-69,Male
NASAW00019687,11-29-69,Male
NASAW00019688,08-11-61,Male
NASAW00019689,09-08-61,Female
NASAW00019690,05-18-45,Male
NASAW00019691,08-31-68,Female
NASAW00019692,05-14-69,Male
NASAW00019693,06-26-68,Female
NASAW00019694,03-13-68,Female
NASAW00019695,12-14-73,Male
NASAW00019696,08-09-67,Male
NASAW00019697,11-25-67,Female
NASAW00019698,10-30-67,Female
NASAW00019699,05-08-72,Female
NASAW00019700,07-09-72,Male
NASAW00019701,12-18-60,Female
NASAW00019702,03-31-61,Male
NASAW00019703,03-31-61,Female
NASAW00019704,12-23-60,Male
NASAW00019705,08-29-60,Female
NASAW00019706,04-10-61,Male
NASAW00019707,07-19-65,Male
NASAW00019708,03-08-41,Female
NASAW00019709,11-17-41,Male
NASAW00019710,04-06-66,Female
NASAW00019711,05-25-66,Male
NASAW00019712,05-23-66,Male
NASAW00019713,08-05-71,Female
NASAW00019714,03-24-71,Female
NASAW00019715,12-05-65,Male
NASAW00019716,04-22-65,Male
NASAW00019717,08-02-65,Male
NASAW00019718,11-10-59,Female
NASAW00019719,02-16-64,Male
NASAW00019720,03-21-59,Female
NASAW00019721,10-10-58,Male
NASAW00019722,09-09-64,Male
NASAW00019723,08-05-64,Female
NASAW00019724,03-08-64,Male
NASAW00019725,04-03-58,Female
NASAW00019726,10-01-42,Male
NASAW00019727,09-21-53,Female
NASAW00019728,04-09-44,Male
NASAW00019729,10-30-43,Female
NASAW00019730,02-18-44,Male
NASAW00019731,12-19-43,Male
NASAW00019732,05-14-50,Male
NASAW00019733,04-19-45,Female
NASAW00019734,12-08-44,Female
NASAW00019735,04-12-45,Female
NASAW00019736,08-27-45,Female
NASAW00019737,08-16-51,Female
NASAW00019738,01-22-46,Male
NASAW00019739,08-01-45,Male
NASAW00019740,05-21-46,Female
NASAW00019741,05-21-46,Female
NASAW00019742,12-09-46,Female
NASAW00019743,02-07-47,Female
NASAW00019744,01-31-47,Female
NASAW00019745,09-14-52,Female
NASAW00019746,08-17-52,Female
NASAW00019747,06-17-48,Male
NASAW00019748,12-19-51,Male
NASAW00019749,03-15-84,Female
NASAW00019750,12-03-82,Male
NASAW00019751,01-03-83,Female
NASAW00019752,09-23-59,Female
NASAW00019753,11-18-53,Female
NASAW00019754,01-19-83,Male
NASAW00019755,12-22-82,Female
NASAW00019756,01-31-83,Male
NASAW00019757,11-06-81,Female
NASAW00019758,06-24-82,Male
NASAW00019759,10-04-81,Female
NASAW00019760,10-30-81,Female
NASAW00019761,12-09-55,Male
NASAW00019762,06-20-61,Male
NASAW00019763,10-05-61,Male
NASAW00019764,10-15-56,Male
NASAW00019765,03-15-57,Male
NASAW00019766,01-29-57,Male
NASAW00019767,08-13-85,Male
NASAW00019768,04-15-86,Male
NASAW00019769,01-24-86,Female
NASAW00019770,02-19-63,Female
NASAW00019771,01-08-58,Female
NASAW00019772,05-06-65,Male
NASAW00019773,09-08-59,Male
NASAW00019774,05-06-81,Female
NASAW00019775,10-23-80,Female
NASAW00019776,11-18-80,Female
NASAW00019777,05-15-86,Male
NASAW00019778,02-12-81,Female
NASAW00019779,07-10-78,Female
NASAW00019780,06-10-79,Female
NASAW00019781,09-30-81,Female
NASAW00019782,10-15-60,Male
NASAW00019783,05-04-66,Male
NASAW00019784,03-17-61,Female
NASAW00019785,07-09-66,Female
NASAW00019786,01-25-62,Female
NASAW00019787,12-26-61,Male
NASAW00019788,06-15-67,Female
NASAW00019789,10-08-61,Female
NASAW00019790,04-25-62,Female
NASAW00019791,10-06-61,Male
NASAW00019792,02-23-63,Female
NASAW00019793,11-19-62,Female
NASAW00019794,11-08-68,Male
NASAW00019795,07-13-63,Male
NASAW00019796,05-12-64,Male
NASAW00019797,05-23-64,Male
NASAW00019798,05-06-70,Female
NASAW00019799,12-15-78,Male
NASAW00019800,09-10-78,Female
NASAW00019801,10-04-85,Male
NASAW00019802,01-10-80,Female
NASAW00019803,10-04-85,Male
NASAW00019804,08-13-85,Male
NASAW00019805,08-02-85,Female
NASAW00019806,08-22-79,Female
NASAW00019807,10-21-64,Female
NASAW00019808,07-26-71,Female
NASAW00019809,10-20-77,Male
NASAW00019810,04-14-63,Male
NASAW00019811,04-21-63,Male
NASAW00019812,08-13-68,Female
NASAW00019813,07-16-62,Female
NASAW00019814,08-12-62,Male
NASAW00019815,10-06-62,Male
NASAW00019816,11-15-68,Male
NASAW00019817,08-05-67,Female
NASAW00019818,07-17-61,Female
NASAW00019819,11-09-61,Male
NASAW00019820,08-31-61,Female
NASAW00019821,12-08-72,Female
NASAW00019822,01-24-76,Male
NASAW00019823,04-26-71,Female
NASAW00019824,11-13-70,Male
NASAW00019825,08-13-70,Male
NASAW00019826,08-02-75,Male
NASAW00019827,03-08-75,Male
NASAW00019828,07-05-69,Female
NASAW00019829,03-02-69,Male
NASAW00019830,12-20-73,Female
NASAW00019831,02-20-68,Male
NASAW00019832,05-21-78,Female
NASAW00019833,08-22-47,Female
NASAW00019834,02-02-48,Male
NASAW00019835,07-09-47,Female
NASAW00019836,02-02-48,Male
NASAW00019837,09-04-58,Male
NASAW00019838,04-16-48,Male
NASAW00019839,01-19-49,Female
NASAW00019840,03-10-49,Female
NASAW00019841,09-30-54,Female
NASAW00019842,10-29-48,Female
NASAW00019843,06-16-54,Male
NASAW00019844,03-02-49,Female
NASAW00019845,08-07-48,Male
NASAW00019846,04-20-49,Male
NASAW00019847,08-25-48,Male
NASAW00019848,08-12-48,Male
NASAW00019849,04-12-55,Male
NASAW00019850,01-14-50,Male
NASAW00019851,12-02-50,Male
NASAW00019852,04-22-51,Male
NASAW00019853,08-09-57,Male
NASAW00019854,04-15-52,Female
NASAW00019855,02-22-57,Male
NASAW00019856,12-14-51,Female
NASAW00019857,03-12-52,Female
NASAW00019858,04-21-52,Female
NASAW00019859,01-08-52,Female
NASAW00019860,04-11-53,Female
NASAW00019861,03-03-53,Female
NASAW00019862,02-07-54,Female
NASAW00019863,03-13-54,Female
NASAW00019864,06-16-54,Male
NASAW00019865,08-04-53,Female
NASAW00019866,12-15-53,Male
NASAW00019867,06-19-54,Male
NASAW00019868,06-23-54,Male
NASAW00019869,11-18-53,Female
NASAW00019870,10-13-60,Male
NASAW00019871,03-13-60,Male
NASAW00019872,09-19-66,Female
NASAW00019873,01-31-56,Male
NASAW00019874,09-19-66,Female
NASAW00019875,11-16-55,Male
NASAW00019876,12-11-55,Male
NASAW00019877,04-19-61,Male
NASAW00019878,01-24-56,Female
NASAW00019879,11-14-55,Male
NASAW00019880,11-13-55,Female
NASAW00019881,10-19-55,Male
NASAW00019882,12-21-55,Male
NASAW00019883,04-16-56,Male
NASAW00019884,04-05-62,Male
NASAW00019885,03-21-57,Male
NASAW00019886,01-29-57,Male
NASAW00019887,06-16-57,Female
NASAW00019888,07-02-56,Male
NASAW00019889,12-19-57,Female
NASAW00019890,08-19-63,Male
NASAW00019891,05-16-58,Female
NASAW00019892,11-20-57,Male
NASAW00019893,02-18-63,Male
NASAW00019894,01-10-58,Male
NASAW00019895,02-19-63,Male
NASAW00019896,02-12-63,Female
NASAW00019897,10-05-58,Female
NASAW00019898,11-07-63,Female
NASAW00019899,09-12-73,Male
NASAW00019900,08-08-62,Female
NASAW00019901,10-19-68,Male
NASAW00019902,03-12-62,Male
NASAW00019903,06-03-62,Male
NASAW00019904,09-11-61,Female
NASAW00019905,10-18-67,Female
NASAW00019906,10-31-61,Male
NASAW00019907,04-03-61,Male
NASAW00019908,01-04-61,Female
NASAW00019909,09-05-60,Male
NASAW00019910,12-01-60,Male
NASAW00019911,01-15-61,Female
NASAW00019912,05-24-77,Female
NASAW00019913,12-03-49,Female
NASAW00019914,10-25-49,Male
NASAW00019915,03-20-50,Female
NASAW00019916,06-05-50,Female
NASAW00019917,02-04-55,Female
NASAW00019918,10-17-49,Female
NASAW00019919,07-17-56,Female
NASAW00019920,10-07-51,Female
NASAW00019921,02-01-57,Female
NASAW00019922,04-23-60,Female
NASAW00019923,05-02-60,Male
NASAW00019924,04-16-65,Male
NASAW00019925,05-13-60,Female
NASAW00019926,11-03-59,Female
NASAW00019927,01-23-60,Male
NASAW00019928,05-31-65,Female
NASAW00019929,09-12-64,Male
NASAW00019930,02-03-59,Male
NASAW00019931,11-18-64,Male
NASAW00019932,01-18-69,Male
NASAW00019933,02-12-63,Female
NASAW00019934,12-24-56,Male
NASAW00019935,06-20-57,Male
NASAW00019936,09-08-61,Male
NASAW00019937,06-18-56,Male
NASAW00019938,01-24-56,Female
NASAW00019939,02-02-56,Male
NASAW00019940,02-08-71,Female
NASAW00019941,09-08-54,Male
NASAW00019942,08-04-60,Male
NASAW00019943,08-26-53,Male
NASAW00019944,02-07-54,Male
NASAW00019945,12-19-52,Male
NASAW00019946,12-06-52,Female
NASAW00019947,05-22-86,Male
NASAW00019948,04-20-81,Female
NASAW00019949,06-25-82,Female
NASAW00019950,07-10-81,Male
NASAW00019951,01-23-82,Male
NASAW00019952,09-24-80,Female
NASAW00019953,08-23-79,Male
NASAW00019954,01-31-80,Male
NASAW00019955,05-08-84,Male
NASAW00019956,12-20-84,Female
NASAW00019957,09-16-79,Male
NASAW00019958,12-02-84,Female
NASAW00019959,03-07-84,Female
NASAW00019960,08-02-78,Male
NASAW00019961,08-04-77,Female
NASAW00019962,04-07-79,Male
NASAW00019963,05-20-79,Male
NASAW00019964,12-09-78,Female
NASAW00019965,05-13-79,Male
NASAW00019966,07-20-83,Female
NASAW00019967,10-29-83,Male
NASAW00019968,07-25-83,Female
NASAW00019969,03-21-82,Male
NASAW00019970,05-08-78,Female
NASAW00019971,01-01-77,Male
NASAW00019972,11-13-82,Female
NASAW00019973,10-11-81,Male
NASAW00019974,02-10-76,Male
NASAW00019975,03-15-76,Female
NASAW00019976,10-05-75,Female
NASAW00019977,04-08-76,Female
NASAW00019978,10-25-76,Male
NASAW00019979,06-22-77,Female
NASAW00019980,01-31-70,Female
NASAW00019981,09-15-77,Female
NASAW00019982,07-21-77,Male
NASAW00019983,11-17-75,Male
NASAW00019984,12-05-75,Female
NASAW00019985,03-24-75,Female
NASAW00019986,07-09-80,Female
NASAW00019987,01-15-77,Female
NASAW00019988,04-06-82,Male
NASAW00019989,01-09-82,Male
NASAW00019990,02-04-77,Male
NASAW00019991,10-14-82,Male
NASAW00019992,11-30-76,Female
NASAW00019993,05-20-75,Male
NASAW00019994,10-19-79,Female
NASAW00019995,10-07-73,Female
NASAW00019996,05-10-79,Male
NASAW00019997,12-04-73,Female
NASAW00019998,10-01-78,Female
NASAW00019999,07-15-72,Female
NASAW00020000,10-19-81,Male
NASAW00020001,07-05-75,Female
NASAW00020002,11-03-75,Female
NASAW00020003,12-19-75,Male
NASAW00020004,05-06-76,Female
NASAW00020005,04-14-73,Male
NASAW00020006,01-04-73,Female
NASAW00020007,03-02-73,Female
NASAW00020008,08-30-77,Male
NASAW00020009,01-31-72,Male
NASAW00020010,06-11-83,Male
NASAW00020011,08-30-71,Male
NASAW00020012,10-08-77,Female
NASAW00020013,08-31-74,Female
NASAW00020014,03-03-80,Female
NASAW00020015,05-20-75,Female
NASAW00020016,02-01-71,Female
NASAW00020017,10-11-76,Female
NASAW00020018,08-13-70,Female
NASAW00020019,04-20-71,Female
NASAW00020020,09-30-70,Female
NASAW00020021,06-24-76,Male
NASAW00020022,12-20-70,Female
NASAW00020023,12-22-70,Male
NASAW00020024,05-10-70,Male
NASAW00020025,09-19-75,Male
NASAW00020026,01-21-70,Female
NASAW00020027,06-16-70,Female
NASAW00020028,05-06-70,Female
NASAW00020029,04-23-70,Female
NASAW00020030,09-18-69,Male
NASAW00020031,11-08-69,Male
NASAW00020032,03-08-75,Male
NASAW00020033,04-12-80,Male
NASAW00020034,04-23-74,Male
NASAW00020035,02-25-74,Male
NASAW00020036,10-01-79,Female
NASAW00020037,09-07-73,Female
NASAW00020038,12-20-73,Female
NASAW00020039,10-05-68,Female
NASAW00020040,12-20-68,Female
NASAW00020041,04-24-84,Male
NASAW00020042,11-01-79,Male
NASAW00020043,02-22-78,Male
NASAW00020044,10-23-78,Female
NASAW00020045,05-03-79,Male
NASAW00020046,03-04-79,Male
NASAW00020047,10-22-78,Male
NASAW00020048,01-02-78,Female
NASAW00020049,12-20-76,Female
NASAW00020050,08-30-77,Female
NASAW00020051,10-16-83,Female
NASAW00020052,07-14-77,Male
NASAW00020053,09-15-77,Male
NASAW00020054,05-23-78,Male
NASAW00020055,10-30-76,Male
NASAW00020056,05-22-77,Male
NASAW00020057,07-14-76,Male
NASAW00020058,08-06-76,Male
NASAW00020059,07-05-76,Female
NASAW00020060,04-06-77,Female
NASAW00020061,03-26-77,Female
NASAW00020062,03-15-80,Male
NASAW00020063,11-29-75,Female
NASAW00020064,12-03-82,Female
NASAW00020065,05-22-77,Male
NASAW00020066,08-10-85,Male
NASAW00020067,04-08-80,Female
NASAW00020068,10-22-79,Female
NASAW00020069,01-24-80,Female
NASAW00020070,10-07-71,Male
NASAW00020071,01-30-77,Male
NASAW00020072,10-17-71,Female
NASAW00020073,01-02-77,Female
NASAW00020074,02-23-59,Male
NASAW00020075,11-15-58,Male
NASAW00020076,11-15-58,Female
NASAW00020077,05-05-59,Male
NASAW00020078,10-17-64,Male
NASAW00020079,05-03-64,Female
NASAW00020080,12-18-69,Female
NASAW00020081,07-17-58,Male
NASAW00020082,08-24-58,Female
NASAW00020083,06-10-64,Male
NASAW00020084,08-01-69,Male
NASAW00020085,10-26-59,Female
NASAW00020086,04-04-71,Male
NASAW00020087,02-10-65,Male
NASAW00020088,01-13-65,Male
NASAW00020089,11-03-59,Male
NASAW00020090,01-19-60,Male
NASAW00020091,05-13-76,Female
NASAW00020092,12-19-59,Male
NASAW00020093,04-09-65,Female
NASAW00020094,06-20-61,Female
NASAW00020095,03-31-61,Female
NASAW00020096,10-31-60,Male
NASAW00020097,03-03-61,Female
NASAW00020098,05-10-73,Female
NASAW00020099,10-01-61,Male
NASAW00020100,09-24-61,Male
NASAW00020101,01-22-67,Male
NASAW00020102,10-31-61,Female
NASAW00020103,06-13-62,Male
NASAW00020104,02-22-63,Male
NASAW00020105,02-23-63,Female
NASAW00020106,03-21-63,Female
NASAW00020107,09-05-62,Female
NASAW00020108,11-02-69,Male
NASAW00020109,12-31-63,Female
NASAW00020110,07-23-63,Male
NASAW00020111,03-19-64,Female
NASAW00020112,12-11-63,Female
NASAW00020113,11-22-63,Female
NASAW00020114,01-02-64,Male
NASAW00020115,07-11-64,Female
NASAW00020116,07-23-64,Female
NASAW00020117,11-07-77,Male
NASAW00020118,02-10-78,Female
NASAW00020119,09-24-78,Male
NASAW00020120,01-02-79,Male
NASAW00020121,01-01-79,Male
NASAW00020122,05-06-79,Male
NASAW00020123,10-03-78,Male
NASAW00020124,03-13-79,Female
NASAW00020125,03-19-77,Female
NASAW00020126,04-15-77,Male
NASAW00020127,08-16-76,Male
NASAW00020128,10-12-76,Male
NASAW00020129,04-17-77,Female
NASAW00020130,02-17-77,Male
NASAW00020131,08-10-69,Female
NASAW00020132,02-05-68,Female
NASAW00020133,10-06-73,Male
NASAW00020134,07-09-67,Male
NASAW00020135,12-03-66,Female
NASAW00020136,12-09-72,Female
NASAW00020137,11-08-66,Male
NASAW00020138,12-18-40,Female
NASAW00020139,08-07-84,Male
NASAW00020140,03-06-64,Male
NASAW00020141,06-10-64,Female
NASAW00020142,05-06-62,Female
NASAW00020143,03-31-62,Male
NASAW00020144,12-21-61,Male
NASAW00020145,04-19-71,Male
NASAW00020146,04-25-51,Female
NASAW00020147,01-08-47,Female
NASAW00020148,12-18-47,Male
NASAW00020149,04-01-48,Female
NASAW00020150,06-18-48,Male
NASAW00020151,04-05-86,Female
NASAW00020152,01-05-86,Male
NASAW00020153,11-21-84,Female
NASAW00020154,04-01-84,Male
NASAW00020155,04-06-83,Male
NASAW00020156,10-17-82,Male
NASAW00020157,04-09-83,Female
NASAW00020158,08-28-84,Male
NASAW00020159,12-01-84,Male
NASAW00020160,05-08-84,Male
NASAW00020161,06-16-54,Male
NASAW00020162,03-02-49,Female
NASAW00020163,10-29-48,Female
NASAW00020164,01-11-49,Male
NASAW00020165,09-20-48,Female
NASAW00020166,03-24-67,Female
NASAW00020167,01-08-72,Male
NASAW00020168,01-31-66,Female
NASAW00020169,03-25-66,Male
NASAW00020170,12-20-65,Male
NASAW00020171,03-25-65,Female
NASAW00020172,11-13-70,Female
NASAW00020173,05-01-81,Male
NASAW00020174,10-17-78,Male
NASAW00020175,10-01-79,Female
NASAW00020176,06-05-86,Male
NASAW00020177,05-05-86,Male
NASAW00020178,08-23-85,Female
NASAW00020179,04-01-84,Female
NASAW00020180,12-31-67,Female
NASAW00020181,09-17-67,Female
NASAW00020182,12-23-67,Female
NASAW00020183,05-04-79,Female
NASAW00020184,10-30-66,Female
NASAW00020185,03-05-67,Male
NASAW00020186,04-05-67,Male
NASAW00020187,03-08-67,Male
NASAW00020188,01-02-67,Female
NASAW00020189,02-19-78,Female
NASAW00020190,03-25-73,Female
NASAW00020191,09-07-72,Male
NASAW00020192,02-15-73,Female
NASAW00020193,06-11-78,Female
NASAW00020194,05-08-66,Male
NASAW00020195,04-09-66,Male
NASAW00020196,06-21-66,Male
NASAW00020197,12-19-65,Female
NASAW00020198,03-14-65,Female
NASAW00020199,03-26-65,Female
NASAW00020200,08-19-64,Male
NASAW00020201,02-14-65,Female
NASAW00020202,05-31-65,Female
NASAW00020203,03-18-76,Male
NASAW00020204,07-24-70,Female
NASAW00020205,08-08-63,Male
NASAW00020206,12-08-63,Female
NASAW00020207,04-21-69,Male
NASAW00020208,11-22-63,Male
NASAW00020209,12-07-63,Female
NASAW00020210,04-03-64,Female
NASAW00020211,11-12-73,Male
NASAW00020212,09-19-75,Female
NASAW00020213,08-09-75,Female
NASAW00020214,03-08-74,Female
NASAW00020215,05-31-74,Female
NASAW00020216,12-18-73,Male
NASAW00020217,09-07-83,Female
NASAW00020218,08-09-78,Male
NASAW00020219,04-20-75,Female
NASAW00020220,01-14-75,Female
NASAW00020221,05-11-80,Female
NASAW00020222,12-12-78,Female
NASAW00020223,10-04-78,Male
NASAW00020224,03-01-72,Male
NASAW00020225,04-30-72,Female
NASAW00020226,10-06-71,Female
NASAW00020227,05-07-72,Male
NASAW00020228,12-21-71,Male
NASAW00020229,02-24-71,Male
NASAW00020230,04-08-76,Male
NASAW00020231,08-09-70,Male
NASAW00020232,11-08-69,Male
NASAW00020233,10-05-69,Female
NASAW00020234,04-19-70,Male
NASAW00020235,11-20-69,Male
NASAW00020236,09-10-68,Male
NASAW00020237,08-18-68,Male
NASAW00020238,06-12-73,Female
NASAW00020239,06-21-84,Female
NASAW00020240,09-29-66,Female
NASAW00020241,01-31-67,Male
NASAW00020242,01-03-37,Male
NASAW00020243,12-19-71,Female
NASAW00020244,11-14-71,Female
NASAW00020245,02-06-72,Male
NASAW00020246,02-15-77,Female
NASAW00020247,01-23-72,Female
NASAW00020248,08-31-65,Female
NASAW00020249,12-31-65,Female
NASAW00020250,12-24-65,Male
NASAW00020251,08-01-65,Male
NASAW00020252,06-20-71,Male
NASAW00020253,04-09-76,Female
NASAW00020254,11-13-70,Female
NASAW00020255,08-01-76,Female
NASAW00020256,05-01-75,Male
NASAW00020257,07-22-75,Male
NASAW00020258,10-18-79,Female
NASAW00020259,09-24-74,Female
NASAW00020260,11-15-67,Male
NASAW00020261,09-23-67,Female
NASAW00020262,11-29-67,Male
NASAW00020263,06-14-68,Male
NASAW00020264,10-23-72,Male
NASAW00020265,11-04-66,Male
NASAW00020266,07-23-72,Female
NASAW00020267,08-05-71,Female
NASAW00020268,07-07-71,Male
NASAW00020269,10-23-60,Male
NASAW00020270,11-01-81,Male
NASAW00020271,08-18-81,Male
NASAW00020272,10-20-80,Male
NASAW00020273,04-27-82,Female
NASAW00020274,10-19-81,Male
NASAW00020275,07-05-85,Female
NASAW00020276,03-26-86,Female
NASAW00020277,01-25-43,Female
NASAW00020278,03-04-83,Female
NASAW00020279,07-11-82,Male
NASAW00020280,03-06-85,Male
NASAW00020281,10-25-84,Male
NASAW00020282,06-30-44,Female
NASAW00020283,12-05-51,Female
NASAW00020284,12-09-48,Female
NASAW00020285,04-20-82,Male
NASAW00020286,05-05-82,Male
NASAW00020287,05-20-82,Male
NASAW00020288,07-22-81,Male
NASAW00020289,12-09-81,Male
NASAW00020290,06-22-82,Male
NASAW00020291,05-02-81,Male
NASAW00020292,07-16-85,Male
NASAW00020293,11-02-79,Male
NASAW00020294,08-10-85,Male
NASAW00020295,05-03-79,Male
NASAW00020296,08-27-78,Male
NASAW00020297,09-10-78,Male
NASAW00020298,04-02-78,Male
NASAW00020299,05-06-74,Male
NASAW00020300,12-21-73,Male
NASAW00020301,10-19-79,Male
NASAW00020302,11-16-79,Male
NASAW00020303,10-23-73,Male
NASAW00020304,02-19-85,Male
NASAW00020305,06-24-85,Male
NASAW00020306,05-11-85,Male
NASAW00020307,09-19-84,Male
NASAW00020308,04-24-85,Male
NASAW00020309,11-08-55,Male
NASAW00020310,10-01-84,Male
NASAW00020311,08-10-84,Male
NASAW00020312,11-19-83,Male
NASAW00020313,05-10-84,Male
NASAW00020314,05-12-53,Male
NASAW00020315,02-22-84,Male
NASAW00020316,03-12-52,Female
NASAW00020317,11-19-51,Male
NASAW00020318,10-30-82,Female
NASAW00020319,05-05-77,Male
NASAW00020320,04-03-77,Female
NASAW00020321,04-01-77,Female
NASAW00020322,10-15-68,Female
NASAW00020323,03-31-69,Male
NASAW00020324,09-15-74,Female
NASAW00020325,07-19-68,Male
NASAW00020326,02-07-69,Female
NASAW00020327,04-08-74,Female
NASAW00020328,05-13-80,Female
NASAW00020329,12-08-74,Male
NASAW00020330,06-01-73,Male
NASAW00020331,12-04-67,Male
NASAW00020332,10-30-67,Male
NASAW00020333,04-16-68,Female
NASAW00020334,05-10-73,Male
NASAW00020335,11-02-67,Male
NASAW00020336,12-06-73,Male
NASAW00020337,04-02-79,Male
NASAW00020338,07-20-67,Female
NASAW00020339,01-23-68,Female
NASAW00020340,09-24-67,Female
NASAW00020341,08-21-66,Male
